Feature_ID,CAS,Mean_RT
000075-19-4_group2,000075-19-4,12.1255
000075-21-8_group1,000075-21-8,0.8763
000075-21-8_group2,000075-21-8,2.9617
000075-21-8_group3,000075-21-8,3.9725428571428574
000075-22-9_group1,000075-22-9,4.9066
000075-31-0_group1,000075-31-0,0.7759
000075-31-0_group2,000075-31-0,2.4499
000075-31-0_group3,000075-31-0,3.0606
000075-31-0_group4,000075-31-0,3.9437466666666667
000075-31-0_group5,000075-31-0,4.440300000000001
000075-33-2_group1,000075-33-2,8.3412
000075-50-3_group1,000075-50-3,3.3502
000075-52-5_group1,000075-52-5,11.856
000075-52-5_group2,000075-52-5,15.032250000000001
000075-65-0_group1,000075-65-0,1.3405
000075-65-0_group2,000075-65-0,5.200670270270271
000075-65-0_group3,000075-65-0,6.7185500000000005
000075-66-1_group1,000075-66-1,2.646
000075-83-2_group1,000075-83-2,1.4028
000075-83-2_group2,000075-83-2,3.3693999999999997
000075-84-3_group1,000075-84-3,5.67305
000075-85-4_group1,000075-85-4,6.4354
000075-94-5_group1,000075-94-5,12.5964
000075-94-5_group2,000075-94-5,12.9165
000075-94-5_group3,000075-94-5,13.1574
000076-05-1_group1,000076-05-1,16.1488
000076-06-2_group1,000076-06-2,5.1005
000076-09-5_group1,000076-09-5,6.69855
000076-22-2_group1,000076-22-2,11.937599999999998
000076-22-2_group2,000076-22-2,14.7934
000076-38-0_group1,000076-38-0,3.3005
000076-50-6_group1,000076-50-6,13.4963
000077-42-9_group1,000077-42-9,19.2466
000077-53-2_group1,000077-53-2,13.5621
000077-53-2_group2,000077-53-2,14.6425
000077-53-2_group3,000077-53-2,15.6228
000077-53-2_group4,000077-53-2,20.5368
000077-53-2_group5,000077-53-2,24.3633
000077-68-9_group1,000077-68-9,14.928715517241379
000077-68-9_group2,000077-68-9,18.798466666666666
000077-68-9_group3,000077-68-9,19.125736363636364
000077-84-9_group1,000077-84-9,6.4036
000077-90-7_group1,000077-90-7,40.8296
000078-07-9_group1,000078-07-9,20.4766
000078-07-9_group2,000078-07-9,29.099899999999998
000078-10-4_group1,000078-10-4,35.714
000078-35-3_group1,000078-35-3,11.7379
000078-35-3_group2,000078-35-3,11.9849
000078-40-0_group1,000078-40-0,8.71
000078-40-0_group2,000078-40-0,9.4841
000078-40-0_group3,000078-40-0,10.228
000078-40-0_group4,000078-40-0,12.7116
